,good_loan
87266,1
37948,1
32925,1
101871,1
12452,1
110687,1
19726,1
80791,1
114931,1
103783,1
101991,1
119375,1
118804,1
95488,1
1342,1
79626,1
56198,1
109716,1
59893,1
46276,1
1498,1
75535,1
91703,1
107560,1
23920,1
118186,1
69270,1
83731,1
87006,1
11903,1
64743,1
85861,1
106403,1
36766,1
117065,1
10017,1
107685,1
22766,1
1813,1
43934,1
70227,1
91203,1
83184,1
10954,1
25115,1
26574,1
105760,1
48461,1
81257,1
17052,1
60402,1
33957,1
90456,1
106020,1
70359,1
97654,1
4087,1
50722,1
104315,1
97161,1
65357,1
79737,1
93064,1
49601,1
55260,1
44365,1
41460,1
12396,1
40344,1
27209,1
86616,1
41381,1
95063,1
78446,1
103052,1
21528,1
36301,1
3102,1
60964,1
32743,1
50856,1
27584,1
72915,1
16810,1
99899,1
94924,1
86465,1
64707,1
64079,1
52599,1
34508,1
6209,1
72625,1
81837,1
90201,1
68458,1
303,1
98697,1
46694,1
110063,1
68108,1
40016,1
71291,1
12651,1
11424,1
64421,1
15969,1
7822,1
37054,1
107158,1
70664,1
70931,1
78021,1
15566,1
94247,1
45706,1
7557,1
70124,1
93461,1
73161,1
39176,1
27135,1
87539,1
91862,1
64738,1
52999,1
58377,1
6009,1
75273,1
64561,1
105023,1
22399,1
12996,1
105158,1
38952,1
109442,1
42520,1
3233,1
72524,1
107690,1
71320,1
90031,1
119588,1
90413,1
92052,1
73967,1
33409,1
109022,1
74333,1
13092,1
74409,1
99386,1
102767,1
24084,1
101092,1
66642,1
95659,1
37661,1
28985,1
109792,1
76815,1
83588,1
103911,1
109421,1
61708,1
118258,1
87623,1
90883,1
52983,1
31437,1
9627,1
43900,1
95868,1
117158,1
24450,1
7588,1
105586,1
95265,1
26866,1
102525,1
43100,1
16541,1
58642,1
68959,1
6947,1
47886,1
66660,1
57794,1
87270,1
38868,1
70750,1
110234,1
15897,1
5412,1
69178,1
1518,1
48747,1
103528,1
79728,1
93071,1
14966,1
50520,1
4279,1
49363,1
21188,1
30688,1
116715,1
70571,1
48892,1
97468,1
74186,1
94524,1
47776,1
67512,1
25188,1
16799,1
26153,1
103678,1
66073,1
1252,1
78769,1
43448,1
56690,1
119885,1
93941,1
114667,1
28643,1
92519,1
94229,1
95001,1
103222,1
2060,1
47662,1
36775,1
6020,1
43113,1
70275,1
1354,1
85073,1
40758,1
119538,1
82597,1
82635,1
110193,1
84063,1
17811,1
117423,1
116970,1
47077,1
14682,1
38496,1
82406,1
41966,1
97003,1
17436,1
87396,1
25515,1
101414,1
23295,1
104822,1
94720,1
81988,1
38138,1
102672,1
99062,1
92114,1
15880,1
36023,1
103964,1
33705,1
83752,1
24700,1
26780,1
38512,1
42655,1
81445,1
9694,1
21213,1
87197,1
112904,1
107205,1
114251,1
74355,1
54229,1
55186,1
11281,1
66952,1
104269,1
109331,1
49168,1
487,1
117112,1
40893,1
75089,1
91122,1
68690,1
72854,1
34033,1
11682,1
96736,1
25827,1
62841,1
118028,1
13500,1
45275,1
79785,1
11191,1
107159,1
49167,1
42394,1
71926,1
50703,1
86552,1
36180,1
106558,1
109542,1
46288,1
60566,1
23470,1
30913,1
37878,1
117015,1
85191,1
7496,1
112280,1
52846,1
16056,1
76461,1
52898,1
5422,1
104320,1
60276,1
61695,1
86806,1
34592,1
113494,1
94417,1
49161,1
7182,1
80925,1
42397,1
51780,1
109631,1
82845,1
91758,1
85837,1
14188,1
57649,1
77450,1
7747,1
8040,1
37748,1
110291,1
64471,1
19888,1
92488,1
45230,1
14182,1
101454,1
101386,1
102366,1
115998,1
51792,1
111598,1
36741,1
26363,1
87332,1
10999,1
97695,1
79772,1
30112,1
103428,1
114898,1
57898,1
106781,1
67370,1
81945,1
51047,1
20204,1
7537,1
115621,1
21886,1
101176,1
36982,1
53037,1
115055,1
114696,1
114701,1
80627,1
326,1
74160,1
70446,1
88352,1
55478,1
3156,1
3402,1
70648,1
10286,1
25579,1
67123,1
57608,1
99998,1
98055,1
41174,1
78838,1
8379,1
9616,1
94480,1
19808,1
55612,1
77268,1
115529,1
51478,1
51403,1
86722,1
110550,1
53489,1
100594,1
64315,1
6200,1
19996,1
1341,1
55325,1
48764,1
80124,1
40780,1
110252,1
24470,1
3018,1
110100,1
15124,1
79453,1
10192,1
23476,1
39130,1
42752,1
46056,1
24423,1
79995,1
26917,1
18112,1
74332,1
22252,1
27443,1
105423,1
5474,1
6997,1
103801,1
48194,1
10571,1
73027,1
69268,1
77150,1
62930,1
7520,1
117381,1
102698,1
72941,1
46027,1
30156,1
57966,1
22840,1
2594,1
44351,1
16928,1
102339,1
48777,1
31177,1
104612,1
20192,1
35862,1
44871,1
119908,1
71423,1
71806,1
113411,1
35609,1
24251,1
2201,1
16223,1
109164,1
110709,1
88001,1
118888,1
95948,1
107338,1
23299,1
91890,1
47959,1
33721,1
7617,1
74189,1
56477,1
71371,1
44528,1
2554,1
117604,1
19266,1
30489,1
113965,1
5741,1
26944,1
90752,1
61231,1
26178,1
92298,1
114971,1
61226,1
95294,1
88893,1
63806,1
117699,1
38079,1
47092,1
98969,1
2444,1
57218,1
104442,1
9881,1
108810,1
4374,1
117484,1
95845,1
77081,1
97933,1
81847,1
53509,1
107223,1
95931,1
104061,1
23386,1
106567,1
24530,1
93640,1
38934,1
61079,1
81286,1
116618,1
95805,1
52051,1
48999,1
25472,1
94432,1
62582,1
115089,1
50090,1
44093,1
74364,1
78706,1
38363,1
18985,1
45719,1
30340,1
80779,1
99388,1
66377,1
106843,1
110843,1
46292,1
80302,1
88260,1
16172,1
4936,1
68845,1
103083,1
91852,1
38047,1
86601,1
71972,1
77398,1
105363,1
113945,1
65330,1
102728,1
24767,1
60508,1
17305,1
114097,1
68010,1
102022,1
90132,1
114605,1
104265,1
106293,1
31358,1
30355,1
64065,1
118652,1
15498,1
74466,1
91236,1
98543,1
77656,1
86918,1
62526,1
66032,1
101970,1
53135,1
55270,1
21469,1
104161,1
4645,1
36852,1
117857,1
60937,1
41303,1
34844,1
108056,1
981,1
10721,1
86088,1
109810,1
71159,1
29245,1
39457,1
71742,1
48922,1
3640,1
33685,1
115638,1
58621,1
30962,1
24263,1
81305,1
91817,1
51357,1
80269,1
80447,1
4460,1
1292,1
28049,1
43625,1
97550,1
30124,1
4996,1
15661,1
3075,1
113617,1
71024,1
99248,1
37639,1
91921,1
51318,1
84588,1
14826,1
96672,1
96344,1
85152,1
91494,1
19848,1
50512,1
41760,1
91074,1
83575,1
114540,1
119412,1
35721,1
98375,1
75170,1
112918,1
48177,1
84835,1
66345,1
59617,1
43067,1
20920,1
106598,1
78622,1
5611,1
67772,1
119665,1
18419,1
78359,1
58787,1
50009,1
5272,1
67466,1
51445,1
67007,1
23117,1
48459,1
9991,1
107698,1
24550,1
86190,1
112336,1
18991,1
116331,1
54744,1
86284,1
95363,1
58439,1
98695,1
54901,1
67642,1
101704,1
54694,1
16516,1
38478,1
21968,1
96799,1
116254,1
67670,1
149,1
68967,1
8795,1
11303,1
43853,1
32250,1
50499,1
15980,1
100672,1
36192,1
15946,1
119543,1
15428,1
56096,1
104797,1
2073,1
24714,1
86289,1
43547,1
67165,1
33662,1
93798,1
115335,1
16881,1
37463,1
51764,1
113512,1
47635,1
15686,1
112393,1
59700,1
2221,1
28120,1
73871,1
117181,1
40084,1
6097,1
114945,1
7401,1
93155,1
36628,1
9735,1
64967,1
8935,1
53878,1
111551,1
103464,1
38491,1
97834,1
113877,1
30213,1
5351,1
79622,1
69570,1
54178,1
58152,1
115123,1
8638,1
94391,1
75487,1
35406,1
96836,1
59347,1
29715,1
93408,1
78693,1
117712,1
54712,1
30179,1
104118,1
74714,1
75764,1
92725,1
104024,1
87533,1
88376,1
1606,1
44932,1
39159,1
101968,1
91202,1
31009,1
65935,1
61552,1
39349,1
15393,1
14241,1
8973,1
81086,1
75743,1
26547,1
107340,1
113112,1
112017,1
45493,1
107853,1
53475,1
27086,1
79601,1
23801,1
54421,1
63771,1
43535,1
97884,1
20218,1
46159,1
3413,1
81974,1
93863,1
2852,1
37181,1
94401,1
62729,1
98670,1
20444,1
50347,1
97369,1
46355,1
50445,1
85131,1
50959,1
69404,1
1306,1
80581,1
83541,1
50958,1
28633,1
19744,1
59234,1
46169,1
108697,1
36960,1
104166,1
95400,1
102967,1
92340,1
117724,1
111975,1
102683,1
4094,1
17213,1
49684,1
84844,1
31759,1
62654,1
114110,1
49337,1
71083,1
40430,1
113319,1
34888,1
95437,1
21609,1
107168,1
90253,1
14071,1
69584,1
101732,1
48322,1
106521,1
104238,1
52555,1
70852,1
19324,1
108737,1
25332,1
38279,1
20536,1
98991,1
78212,1
13371,1
15011,1
109330,1
69084,1
13449,1
12589,1
58693,1
67579,1
104229,1
103230,1
50830,1
18887,1
52168,1
106935,1
79029,1
24323,1
106617,1
19277,1
83714,1
7223,1
98488,1
28383,1
4366,1
71268,1
12202,1
85334,1
34434,1
15571,1
26398,1
6457,1
79635,1
69694,1
53285,1
113791,1
55214,1
8418,1
263,1
71464,1
104666,1
35284,1
67681,1
65416,1
29968,1
89268,1
50160,1
42137,1
112277,1
661,1
35006,1
69977,1
13470,1
103688,1
105111,1
2176,1
104808,1
5179,1
81930,1
98794,1
6271,1
113531,1
71509,1
81023,1
37510,1
111498,1
67130,1
41511,1
72517,1
117897,1
87335,1
5978,1
47741,1
863,1
42979,1
63037,1
81148,1
15677,1
72627,1
2813,1
54351,1
105506,1
32526,1
90941,1
97207,1
38318,1
44935,1
33251,1
41301,1
102622,1
41785,1
63854,1
92138,1
59193,1
115946,1
54902,1
72234,1
26149,1
76723,1
16252,1
44742,1
21592,1
66499,1
81960,1
110941,1
73322,1
43505,1
13137,1
85587,1
33548,1
14939,1
119129,1
70456,1
108252,1
94644,1
71133,1
44547,1
89701,1
29082,1
89245,1
80560,1
95886,1
71420,1
83548,1
50323,1
62444,1
111413,1
115747,1
32516,1
40870,1
108212,1
56677,1
50446,1
44540,1
112808,1
71899,1
119795,1
726,1
17472,1
111076,1
61841,1
32188,1
93570,1
90076,1
37969,1
62499,1
52548,1
12162,1
16410,1
49181,1
102889,1
99475,1
2472,1
76077,1
107851,1
21384,1
64392,1
17512,1
87201,1
115087,1
115751,1
115076,1
65323,1
32725,1
5486,1
56209,1
89365,1
73167,1
119667,1
80933,1
41589,1
83151,1
60581,1
23458,1
65273,1
94840,1
55853,1
115949,1
49419,1
13866,1
87058,1
23795,1
36600,1
74988,1
65267,1
23286,1
71282,1
14691,1
20232,1
69720,1
65569,1
28568,1
95645,1
74427,1
71750,1
57280,1
67213,1
5155,1
86942,1
18579,1
104972,1
7760,1
14407,1
55163,1
55012,1
28008,1
85686,1
25387,1
96307,1
85519,1
4379,1
78909,1
29216,1
78519,1
4290,1
106441,1
18841,1
93794,1
102966,1
100164,1
62757,1
59435,1
26336,1
64209,1
104011,1
7550,1
64857,1
9519,1
103922,1
111984,1
50131,1
55827,1
84673,1
41657,1
30330,1
7690,1
47451,1
48023,1
12720,1
94230,1
118228,1
118160,1
86657,1
50150,1
564,1
35311,1
97502,1
85532,1
115001,1
79116,1
95626,1
79062,1
119686,1
84983,1
10155,1
53507,1
74491,1
79233,1
88076,1
25070,1
5831,1
39845,1
18818,1
49046,1
5961,1
7147,1
34805,1
17621,1
57273,1
21881,1
81278,1
7225,1
33140,1
57189,1
53145,1
110010,1
98894,1
16802,1
40550,1
8722,1
88563,1
30881,1
44891,1
88291,1
56231,1
117140,1
68550,1
82420,1
114704,1
62904,1
90821,1
12791,1
32364,1
117601,1
15987,1
5919,1
15928,1
111447,1
4319,1
6382,1
19645,1
16762,1
74327,1
76597,1
18147,1
62433,1
101251,1
97417,1
25272,1
118622,1
72835,1
3214,1
47524,1
80954,1
10817,1
23477,1
5323,1
66873,1
47337,1
67758,1
57084,1
24398,1
27538,1
5866,1
110387,1
112338,1
31548,1
91016,1
53970,1
85248,1
66324,1
53554,1
71193,1
36768,1
117496,1
57248,1
102194,1
31986,1
90255,1
7602,1
55279,1
11616,1
114248,1
4411,1
47795,1
81316,1
14010,1
36822,1
51545,1
84388,1
48660,1
76735,1
80860,1
16526,1
9267,1
26199,1
51099,1
56149,1
7672,1
106364,1
111092,1
58082,1
68205,1
64955,1
60200,1
50491,1
10220,1
19868,1
111988,1
63421,1
96890,1
98047,1
73750,1
70566,1
15887,1
97547,1
76090,1
25482,1
47816,1
65503,1
36031,1
99569,1
55101,1
115217,1
36530,1
97486,1
70762,1
73098,1
67114,1
60851,1
82544,1
103905,1
47239,1
9037,1
94237,1
98874,1
59488,1
81540,1
100403,1
66865,1
61781,1
79336,1
29326,1
119044,1
31436,1
38265,1
75159,1
108728,1
88377,1
44671,1
104497,1
102751,1
92437,1
16431,1
63488,1
81389,1
12821,1
84568,1
35567,1
117602,1
87117,1
64291,1
82851,1
52959,1
54269,1
33052,1
46755,1
111316,1
53128,1
15671,1
97601,1
67523,1
98456,1
90225,1
96966,1
30451,1
38131,1
46597,1
10493,1
66572,1
82783,1
19385,1
98040,1
747,1
60738,1
101499,1
30387,1
20868,1
58815,1
21067,1
3104,1
9742,1
25358,1
92761,1
26652,1
56724,1
98999,1
40322,1
96640,1
117006,1
39466,1
56893,1
112176,1
28940,1
99944,1
118742,1
55046,1
105354,1
22890,1
66221,1
105436,1
1199,1
2640,1
56814,1
90715,1
73957,1
102195,1
92131,1
11448,1
46251,1
107177,1
41018,1
76592,1
1928,1
93295,1
75314,1
97682,1
27148,1
105774,1
69244,1
3470,1
105345,1
31254,1
24042,1
1257,1
69079,1
4821,1
33004,1
108371,1
73672,1
62276,1
11474,1
31516,1
13812,1
43074,1
11176,1
72997,1
62919,1
17762,1
114624,1
34182,1
22230,1
97112,1
83404,1
21389,1
51316,1
101168,1
116009,1
551,1
5058,1
88021,1
103983,1
76169,1
95907,1
89226,1
49687,1
74623,1
109418,1
56616,1
5075,1
36579,1
83062,1
100487,1
65317,1
7101,1
20241,1
39105,1
77813,1
30502,1
44058,1
39279,1
71521,1
81034,1
3298,1
83053,1
59563,1
22433,1
25953,1
2154,1
102955,1
81798,1
46589,1
119160,1
106150,1
25468,1
55346,1
1991,1
75691,1
75985,1
96367,1
67250,1
112676,1
92705,1
110470,1
84098,1
15103,1
51368,1
5575,1
94582,1
108818,1
15442,1
103768,1
69780,1
101096,1
71230,1
947,1
568,1
47549,1
47026,1
117185,1
50286,1
17399,1
46568,1
85998,1
98183,1
111089,1
31424,1
57531,1
7442,1
66928,1
38870,1
34384,1
66555,1
101921,1
75041,1
13288,1
45875,1
2253,1
94353,1
48593,1
33155,1
34574,1
63262,1
70630,1
64216,1
26706,1
17670,1
12465,1
6234,1
27027,1
93822,1
114816,1
29931,1
88978,1
97696,1
111939,1
99695,1
29399,1
2058,1
51698,1
112703,1
4501,1
38269,1
119496,1
94079,1
43438,1
53887,1
92762,1
51114,1
51744,1
47942,1
85581,1
8964,1
35148,1
110869,1
104991,1
57969,1
26825,1
27645,1
3509,1
11709,1
64484,1
78928,1
101595,1
113423,1
3184,1
98833,1
37742,1
90807,1
106924,1
64552,1
2774,1
109150,1
97000,1
7937,1
38555,1
112423,1
115521,1
59221,1
84074,1
58435,1
36077,1
111797,1
115624,1
119524,1
59931,1
85906,1
3741,1
98523,1
32376,1
91371,1
3752,1
114496,1
85499,1
113108,1
91604,1
97030,1
36058,1
14895,1
103749,1
42109,1
8799,1
56730,1
16926,1
30024,1
72789,1
31268,1
54815,1
3657,1
102903,1
114825,1
75804,1
24871,1
109673,1
49420,1
115625,1
13367,1
32122,1
98126,1
6900,1
82563,1
73877,1
6178,1
119305,1
27956,1
1993,1
35339,1
34504,1
15439,1
5945,1
48401,1
105018,1
91717,1
86556,1
72787,1
55219,1
42008,1
13163,1
102017,1
19787,1
85689,1
535,1
24624,1
104818,1
110801,1
10852,1
10585,1
10136,1
64749,1
108020,1
68765,1
35289,1
107964,1
113862,1
64587,1
16090,1
24414,1
17271,1
49327,1
38454,1
3558,1
26020,1
81936,1
91148,1
114580,1
119646,1
35892,1
66765,1
54830,1
17977,1
2581,1
24776,1
87815,1
13602,1
119068,1
100973,1
88620,1
106494,1
28278,1
8729,1
110770,1
88949,1
118515,1
80282,1
10910,1
55074,1
39475,1
7533,1
72641,1
8506,1
63096,1
62659,1
18214,1
9680,1
81614,1
45162,1
86126,1
64283,1
92214,1
324,1
20195,1
25467,1
119252,1
11817,1
59636,1
24841,1
75098,1
97766,1
114006,1
45923,1
103342,1
58932,1
64952,1
20816,1
38773,1
90583,1
62490,1
59576,1
509,1
39040,1
118389,1
46106,1
43106,1
105653,1
76950,1
5161,1
58389,1
73628,1
113777,1
13776,1
9542,1
2922,1
116428,1
105819,1
39022,1
78767,1
38643,1
38809,1
11321,1
105632,1
27458,1
55198,1
6687,1
119139,1
92498,1
6677,1
4536,1
42222,1
1332,1
104213,1
115769,1
23985,1
51011,1
95918,1
11277,1
25510,1
63950,1
3980,1
73545,1
103325,1
37996,1
78901,1
89047,1
114158,1
75790,1
37534,1
6068,1
53278,1
57504,1
109510,1
115580,1
66645,1
117681,1
46264,1
21964,1
48124,1
118563,1
61335,1
31730,1
59649,1
115334,1
58785,1
75072,1
101671,1
95324,1
21060,1
53458,1
100173,1
58843,1
76760,1
22673,1
46507,1
25728,1
94623,1
66684,1
94943,1
57799,1
110308,1
119707,1
25925,1
12566,1
97583,1
25508,1
86533,1
94090,1
100576,1
41402,1
12758,1
46703,1
86269,1
88403,1
30514,1
66249,1
92801,1
25793,1
103917,1
104323,1
70777,1
30115,1
103670,1
80285,1
66615,1
101367,1
77520,1
22527,1
38878,1
83923,1
71596,1
47118,1
108094,1
46348,1
34600,1
9614,1
11262,1
113907,1
69315,1
70084,1
35661,1
33044,1
118408,1
48149,1
3016,1
73023,1
103936,1
61910,1
116607,1
92606,1
104793,1
44679,1
5197,1
107848,1
36660,1
112885,1
57182,1
93196,1
2280,1
107288,1
105648,1
48969,1
71485,1
26722,1
42168,1
49311,1
102397,1
104686,1
78744,1
54718,1
22786,1
42961,1
92246,1
53480,1
17251,1
104257,1
35572,1
73468,1
113933,1
105502,1
82266,1
18692,1
58745,1
33827,1
92257,1
25867,1
105603,1
3490,1
57093,1
110742,1
23178,1
118838,1
939,1
8085,1
106246,1
30265,1
61489,1
21817,1
21249,1
92597,1
96245,1
74987,1
116567,1
36885,1
85054,1
79988,1
57031,1
595,1
53502,1
72443,1
14330,1
24021,1
103696,1
110461,1
100508,1
2822,1
28814,1
16418,1
39522,1
83672,1
72748,1
7173,1
16211,1
19339,1
85934,1
7559,1
39169,1
55242,1
25371,1
58452,1
29334,1
19063,1
118364,1
113580,1
97208,1
34206,1
92267,1
759,1
4675,1
69126,1
114393,1
25020,1
9609,1
5454,1
107691,1
29098,1
5141,1
32198,1
70178,1
40654,1
57733,1
53449,1
27151,1
84963,1
7740,1
91830,1
17527,1
50343,1
5000,1
424,1
91772,1
15047,1
109904,1
33322,1
111054,1
40636,1
104879,1
90295,1
76507,1
11657,1
57252,1
83217,1
24248,1
59708,1
89553,1
46156,1
53018,1
34394,1
93169,1
82763,1
76345,1
38680,1
56645,1
78752,1
101247,1
28664,1
86322,1
40060,1
95076,1
57646,1
66739,1
96205,1
89463,1
6961,1
14028,1
17424,1
105077,1
47854,1
58775,1
17577,1
97859,1
13278,1
41698,1
67340,1
62058,1
117978,1
9700,1
12391,1
42815,1
98634,1
29348,1
6052,1
93412,1
36041,1
82992,1
28212,1
82812,1
45466,1
7703,1
41076,1
52189,1
4847,1
115276,1
90121,1
3050,1
57960,1
44855,1
112116,1
73370,1
63418,1
114424,1
50105,1
51436,1
2579,1
31081,1
47332,1
26678,1
106104,1
73754,1
98426,1
69513,1
18884,1
113087,1
24707,1
3476,1
20919,1
90664,1
53460,1
115487,1
92328,1
1736,1
11781,1
74774,1
3535,1
4287,1
18466,1
2519,1
98892,1
112100,1
27189,1
60716,1
18258,1
24316,1
33405,1
110386,1
119545,1
18485,1
95792,1
61178,1
64511,1
104766,1
111734,1
6337,1
81702,1
106998,1
69066,1
61661,1
16775,1
65738,1
12278,1
73297,1
110935,1
13882,1
107745,1
88417,1
96275,1
109119,1
36113,1
74749,1
36826,1
87323,1
5940,1
74885,1
64671,1
64271,1
56958,1
68001,1
9299,1
94042,1
107131,1
45560,1
59135,1
55581,1
35062,1
45468,1
107724,1
97130,1
48008,1
115002,1
114085,1
54636,1
15480,1
44889,1
9284,1
119005,1
79176,1
24568,1
89671,1
112928,1
28439,1
92384,1
70034,1
62107,1
74041,1
79267,1
51743,1
18001,1
82149,1
84993,1
28737,1
114304,1
109006,1
34414,1
3388,1
36428,1
5180,1
53252,1
90196,1
9416,1
28592,1
55131,1
28106,1
15982,1
74744,1
4463,1
15836,1
9265,1
36625,1
14074,1
51532,1
48085,1
96496,1
62651,1
56028,1
10461,1
98849,1
73721,1
110243,1
77518,1
119831,1
32841,1
39830,1
74517,1
164,1
24978,1
46522,1
111087,1
93771,1
39555,1
119877,1
22104,1
16368,1
8611,1
52690,1
10444,1
118091,1
65892,1
25740,1
34771,1
70543,1
62324,1
94739,1
116027,1
44332,1
86420,1
91390,1
31762,1
108782,1
107506,1
56079,1
110235,1
61240,1
109199,1
113735,1
42112,1
57637,1
28826,1
29828,1
115706,1
108615,1
83125,1
61713,1
4578,1
4523,1
20307,1
28234,1
58870,1
55748,1
56223,1
89335,1
110434,1
111671,1
48024,1
49141,1
65533,1
64525,1
96148,1
95014,1
53815,1
109391,1
67257,1
20409,1
109789,1
114390,1
6048,1
26853,1
6397,1
118564,1
81633,1
80668,1
112893,1
98825,1
26257,1
44513,1
5319,1
37265,1
46567,1
36415,1
44869,1
96882,1
102886,1
10248,1
109003,1
93306,1
102619,1
82927,1
37358,1
34756,1
54604,1
109132,1
25444,1
111012,1
103926,1
103018,1
52835,1
94361,1
75654,1
113443,1
68903,1
87889,1
29282,1
67860,1
6757,1
25257,1
112235,1
8284,1
32291,1
27193,1
84086,1
118982,1
115310,1
37831,1
61196,1
25952,1
74721,1
108270,1
4982,1
79940,1
115052,1
69760,1
6877,1
44077,1
42435,1
48244,1
35358,1
49371,1
63195,1
79364,1
24412,1
101254,1
32924,1
77007,1
63682,1
96904,1
28153,1
108187,1
82206,1
68079,1
114413,1
77705,1
18069,1
33784,1
24432,1
7883,1
59497,1
82285,1
20533,1
47379,1
21840,1
66002,1
14794,1
115270,1
29421,1
59514,1
109289,1
42377,1
83386,1
83930,1
74772,1
20694,1
39098,1
30125,1
54575,1
19851,1
8416,1
42862,1
24389,1
8204,1
67839,1
36283,1
25138,1
112088,1
22745,1
91637,1
6640,1
63897,1
118968,1
82133,1
36953,1
111407,1
51409,1
82917,1
36723,1
84377,1
96723,1
44727,1
24845,1
31633,1
8871,1
19165,1
109408,1
17198,1
119189,1
104953,1
75943,1
73228,1
14414,1
104077,1
112434,1
40718,1
60625,1
51664,1
25651,1
104342,1
60665,1
64613,1
116299,1
63999,1
60584,1
19901,1
78040,1
16707,1
4259,1
79322,1
89937,1
54706,1
113761,1
81556,1
60572,1
50210,1
49158,1
53154,1
108008,1
111220,1
7114,1
90025,1
58292,1
82361,1
16574,1
9455,1
25460,1
23622,1
20732,1
60047,1
15852,1
71190,1
30683,1
105578,1
33514,1
54318,1
18166,1
112382,1
48921,1
51312,1
87067,1
102995,1
93333,1
114003,1
4588,1
60747,1
111071,1
113691,1
35395,1
32607,1
61576,1
21477,1
13456,1
96826,1
86005,1
112292,1
107736,1
30549,1
106044,1
106358,1
100614,1
67780,1
49771,1
65453,1
19271,1
28206,1
71794,1
73725,1
5219,1
62056,1
17618,1
43537,1
75339,1
114,1
13702,1
71387,1
99246,1
95067,1
118532,1
55539,1
98540,1
107119,1
110598,1
20640,1
75979,1
87804,1
34421,1
25434,1
105702,1
4900,1
116621,1
17740,1
24887,1
35927,1
74088,1
110058,1
117509,1
56977,1
92493,1
79469,1
105209,1
75084,1
24352,1
46470,1
50230,1
71219,1
13758,1
26628,1
